date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:57	4600/4600	---M-Z	404	error ('Not%20Found')	text/html	etag:%221aa3d9-11f8-5827c2c756540-gzip%22	https://wrraptheme.com/templates/compass/html/assets/fonts/nucleo-outline.ttf	wrraptheme.com/templates/compass/html/assets/fonts/nucleo-outline.ttf	(from https://wrraptheme.com/templates/compass/html/assets/css/main.css)
00:53:04	38384/38384	---M--	200	added ('OK')	font/woff2	etag:%221e5b0c-95f0-5240ab164cf00%22	https://wrraptheme.com/templates/compass/html/assets/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0	wrraptheme.com/templates/compass/html/assets/fonts/Material-Design-Iconic-Fontd1f1.woff2	(from https://wrraptheme.com/templates/compass/html/assets/css/main.css)
00:53:06	50312/50312	---M--	200	added ('OK')	font/woff	etag:%221e5b0e-c488-5240ab164cf00%22	https://wrraptheme.com/templates/compass/html/assets/fonts/Material-Design-Iconic-Font.woff?v=2.2.0	wrraptheme.com/templates/compass/html/assets/fonts/Material-Design-Iconic-Fontd1f1.woff	(from https://wrraptheme.com/templates/compass/html/assets/css/main.css)
00:53:08	6165/6165	---M--	200	added ('OK')	text/css	etag:%2222786a-1815-5612fdb877c80%22	https://wrraptheme.com/templates/compass/html/assets/plugins/jvectormap/jquery-jvectormap-2.0.3.min.css	wrraptheme.com/templates/compass/html/assets/plugins/jvectormap/jquery-jvectormap-2.0.3.min.css	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:09	99212/99212	---M--	200	added ('OK')	font/ttf	etag:%221e5b0b-1838c-5240ab164cf00%22	https://wrraptheme.com/templates/compass/html/assets/fonts/Material-Design-Iconic-Font.ttf?v=2.2.0	wrraptheme.com/templates/compass/html/assets/fonts/Material-Design-Iconic-Fontd1f1.ttf	(from https://wrraptheme.com/templates/compass/html/assets/css/main.css)
00:53:09	436/436	---M--	200	added ('OK')	text/css	etag:%222284a7-1b4-5612fd7f3f580%22	https://wrraptheme.com/templates/compass/html/assets/plugins/morrisjs/morris.min.css	wrraptheme.com/templates/compass/html/assets/plugins/morrisjs/morris.min.css	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:10	3306/3306	---M--	200	added ('OK')	image/svg+xml	etag:%222054db-cea-556b84da23300%22	https://wrraptheme.com/templates/compass/html/assets/images/weather/summer.svg	wrraptheme.com/templates/compass/html/assets/images/weather/summer.svg	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:12	3134/3134	---M--	200	added ('OK')	image/svg+xml	etag:%222054da-c3e-556b84da23300%22	https://wrraptheme.com/templates/compass/html/assets/images/weather/rain.svg	wrraptheme.com/templates/compass/html/assets/images/weather/rain.svg	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:13	2542/2542	---M--	200	added ('OK')	image/svg+xml	etag:%222054d9-9ee-556b84da23300%22	https://wrraptheme.com/templates/compass/html/assets/images/weather/cloudy.svg	wrraptheme.com/templates/compass/html/assets/images/weather/cloudy.svg	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:14	2590/2590	---M--	200	added ('OK')	image/svg+xml	etag:%222054d8-a1e-556b84da23300%22	https://wrraptheme.com/templates/compass/html/assets/images/weather/wind.svg	wrraptheme.com/templates/compass/html/assets/images/weather/wind.svg	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:15	2358/2358	---M--	200	added ('OK')	image/svg+xml	etag:%222054dd-936-556b84da23300%22	https://wrraptheme.com/templates/compass/html/assets/images/weather/sky.svg	wrraptheme.com/templates/compass/html/assets/images/weather/sky.svg	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:17	129888/129888	---M--	200	added ('OK')	application/javascript	etag:%221e5b10-1fb60-591a65028c0c0%22	https://wrraptheme.com/templates/compass/html/assets/bundles/morrisscripts.bundle.js	wrraptheme.com/templates/compass/html/assets/bundles/morrisscripts.bundle.js	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:19	10600/10600	---M--	200	added ('OK')	application/javascript	etag:%221e5b13-2968-591a64ffafa00%22	https://wrraptheme.com/templates/compass/html/assets/bundles/knob.bundle.js	wrraptheme.com/templates/compass/html/assets/bundles/knob.bundle.js	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:20	149902/149902	---M--	200	added ('OK')	application/javascript	etag:%221e5b11-2498e-591a64ffafa00%22	https://wrraptheme.com/templates/compass/html/assets/bundles/jvectormap.bundle.js	wrraptheme.com/templates/compass/html/assets/bundles/jvectormap.bundle.js	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:20	42734/42734	---M--	200	added ('OK')	application/javascript	etag:%221e5b1a-a6ee-591a65028c0c0%22	https://wrraptheme.com/templates/compass/html/assets/bundles/sparkline.bundle.js	wrraptheme.com/templates/compass/html/assets/bundles/sparkline.bundle.js	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:21	8415/8415	---M--	200	added ('OK')	application/javascript	etag:%22205464-20df-5625e56e74c00%22	https://wrraptheme.com/templates/compass/html/assets/js/pages/index.js	wrraptheme.com/templates/compass/html/assets/js/pages/index.js	(from https://wrraptheme.com/templates/compass/html/index.html)
00:53:22	657/657	---M--	200	added ('OK')	text/css	etag:%2220547b-291-591a65065c9c0%22	https://wrraptheme.com/templates/compass/html/assets/css/authentication.css	wrraptheme.com/templates/compass/html/assets/css/authentication.css	(from https://wrraptheme.com/templates/compass/html/sign-in.html)
00:53:25	3226/3226	---M--	200	added ('OK')	text/css	etag:%22205483-c9a-591a650b21500%22	https://wrraptheme.com/templates/compass/html/assets/css/timeline.css	wrraptheme.com/templates/compass/html/assets/css/timeline.css	(from https://wrraptheme.com/templates/compass/html/profile.html)
00:53:26	400977/400977	---M--	200	added ('OK')	image/jpeg	etag:%222054de-61e51-560f58a3c1280%22	https://wrraptheme.com/templates/compass/html/assets/images/login.jpg	wrraptheme.com/templates/compass/html/assets/images/login.jpg	(from https://wrraptheme.com/templates/compass/html/sign-in.html)
